batch,temperature,pH,growth_model,growth_mu_max,growth_Ks,product_model,product_alpha,product_beta,substrate_model,substrate_Yxs,substrate_ms,substrate_Yps,oxygen_model,oxygen_Yxo2,oxygen_mo2,cost,success,message
sc_T25_pH4.0,25.0,4.0,monod,0.103,0.1697,luedeking_piret,1.9162,0.0309,yield_maintenance,0.3964,0.0334,,demand_only,1.0266,0.0746,0.00246,True,ok
sc_T25_pH5.0,25.0,5.0,monod,0.2577,0.1844,luedeking_piret,2.2527,0.0335,yield_maintenance,0.4327,0.0249,,demand_only,1.0341,0.0632,0.00427,True,ok
sc_T25_pH6.0,25.0,6.0,monod,0.1084,0.1685,luedeking_piret,1.7996,0.0309,yield_maintenance,0.4149,0.0321,,demand_only,1.0048,0.0739,0.00433,True,ok
sc_T28_pH4.0,28.0,4.0,monod,0.1639,0.1905,luedeking_piret,1.9509,0.0327,yield_maintenance,0.4262,0.0315,,demand_only,1.0187,0.0774,0.00604,True,ok
sc_T28_pH5.0,28.0,5.0,monod,0.3913,0.1794,luedeking_piret,2.7047,0.0303,yield_maintenance,0.4624,0.0204,,demand_only,1.0215,0.0529,0.00525,True,ok
sc_T28_pH6.0,28.0,6.0,monod,0.1369,0.1778,luedeking_piret,1.9673,0.0312,yield_maintenance,0.4283,0.0311,,demand_only,0.9914,0.0754,0.00454,True,ok
sc_T30_pH4.0,30.0,4.0,monod,0.1671,0.1718,luedeking_piret,1.9955,0.0325,yield_maintenance,0.4186,0.0278,,demand_only,0.9956,0.0738,0.00619,True,ok
sc_T30_pH5.0,30.0,5.0,monod,0.4462,0.1947,luedeking_piret,2.7966,0.0242,yield_maintenance,0.4554,0.0191,,demand_only,1.0401,0.057,0.00222,True,ok
sc_T30_pH6.0,30.0,6.0,monod,0.1653,0.1781,luedeking_piret,1.9548,0.0287,yield_maintenance,0.4307,0.0285,,demand_only,1.0301,0.0654,0.00304,True,ok
sc_T33_pH4.0,33.0,4.0,monod,0.1275,0.1749,luedeking_piret,1.9151,0.0281,yield_maintenance,0.4165,0.0274,,demand_only,1.0003,0.0742,0.00261,True,ok
sc_T33_pH5.0,33.0,5.0,monod,0.385,0.1758,luedeking_piret,2.6923,0.0274,yield_maintenance,0.4372,0.0237,,demand_only,1.0424,0.0607,0.00342,True,ok
sc_T33_pH6.0,33.0,6.0,monod,0.1471,0.1864,luedeking_piret,1.9685,0.0289,yield_maintenance,0.407,0.0292,,demand_only,1.0444,0.075,0.00193,True,ok
sc_T36_pH4.0,36.0,4.0,monod,0.0802,0.1844,luedeking_piret,1.7073,0.036,yield_maintenance,0.4014,0.0324,,demand_only,1.0035,0.0766,0.00495,True,ok
sc_T36_pH5.0,36.0,5.0,monod,0.2294,0.185,luedeking_piret,2.1997,0.0265,yield_maintenance,0.4338,0.029,,demand_only,1.0435,0.0784,0.00367,True,ok
sc_T36_pH6.0,36.0,6.0,monod,0.085,0.1852,luedeking_piret,1.7609,0.0339,yield_maintenance,0.412,0.0335,,demand_only,0.9919,0.0753,0.00179,True,ok
